id,game_id,date,home_team,away_team,home_goals,away_goals,venue,WINNER,time,odds_1,odds_x,odds_y
1,2018020001,2018-10-03,Maple Leafs,Canadiens,3,2,Scotiabank Arena,Maple Leafs,04:30,1.66,4.75,4.6
2,2018020048,2018-10-11,Devils,Capitals,6,0,Prudential Center,Devils,04:30,2.48,4.55,2.5
3,2018020001,2018-10-03,Maple Leafs,Canadiens,3,2,Scotiabank Arena,Maple Leafs,04:30,1.66,4.75,4.6
4,2018020049,2018-10-11,Rangers,Sharks,3,2,Madison Square Garden,Rangers,04:30,3.05,4.33,2.13
5,2018020002,2018-10-03,Capitals,Bruins,7,0,Capital One Arena,Capitals,05:00,2.43,4.2,2.65
6,2018020002,2018-10-03,Capitals,Bruins,7,0,Capital One Arena,Capitals,05:00,2.43,4.2,2.65
7,2018020050,2018-10-11,Penguins,Golden Knights,4,2,PPG Paints Arena,Penguins,04:30,1.88,4.8,3.65
8,2018020045,2018-10-11,Bruins,Oilers,4,1,TD Garden,Bruins,04:30,1.96,4.5,3.35
9,2018020003,2018-10-04,Canucks,Flames,5,2,Rogers Arena,Canucks,07:30,2.9,4.2,2.2
10,2018020046,2018-10-11,Sabres,Avalanche,1,6,KeyBank Center,Avalanche,04:30,2.7,4.2,2.4
11,2018020003,2018-10-04,Canucks,Flames,5,2,Rogers Arena,Canucks,07:30,2.9,4.2,2.2
12,2018020047,2018-10-11,Panthers,Blue Jackets,4,5,BB&T Center,Blue Jackets,04:30,2.25,4.33,2.83
13,2018020004,2018-10-04,Sharks,Ducks,2,5,SAP Center at San Jose,Ducks,08:00,1.9,4.35,3.6
14,2018020048,2018-10-11,Devils,Capitals,6,0,Prudential Center,Devils,04:30,2.48,4.55,2.5
15,2018020004,2018-10-04,Sharks,Ducks,2,5,SAP Center at San Jose,Ducks,08:00,1.9,4.35,3.6
16,2018020005,2018-10-04,Sabres,Bruins,0,4,KeyBank Center,Bruins,04:30,2.9,4.2,2.29
17,2018020049,2018-10-11,Rangers,Sharks,3,2,Madison Square Garden,Rangers,04:30,3.05,4.33,2.13
18,2018020007,2018-10-04,Penguins,Capitals,7,6,PPG Paints Arena,Penguins,04:30,2.05,4.4,3.24
19,2018020050,2018-10-11,Penguins,Golden Knights,4,2,PPG Paints Arena,Penguins,04:30,1.88,4.8,3.65
20,2018020051,2018-10-11,Canadiens,Kings,0,3,Centre Bell,Kings,05:00,2.42,4.15,2.61
21,2018020008,2018-10-04,Hurricanes,Islanders,1,2,PNC Arena,Islanders,04:30,2.0,4.4,3.24
22,2018020005,2018-10-04,Sabres,Bruins,0,4,KeyBank Center,Bruins,04:30,2.9,4.2,2.29
23,2018020052,2018-10-11,Red Wings,Maple Leafs,3,5,Little Caesars Arena,Maple Leafs,05:00,3.4,4.4,1.95
