"id";"game_id";"date";"home_team";"away_team";"home_goals";"away_goals";"venue";"WINNER"
1;2018020001;"2018-10-03";"Maple Leafs";"Canadiens";3;2;"Scotiabank Arena";"Maple Leafs"
2;2018020048;"2018-10-11";"Devils";"Capitals";6;0;"Prudential Center";"Devils"
3;2018020001;"2018-10-03";"Maple Leafs";"Canadiens";3;2;"Scotiabank Arena";"Maple Leafs"
4;2018020049;"2018-10-11";"Rangers";"Sharks";3;2;"Madison Square Garden";"Rangers"
5;2018020002;"2018-10-03";"Capitals";"Bruins";7;0;"Capital One Arena";"Capitals"
6;2018020002;"2018-10-03";"Capitals";"Bruins";7;0;"Capital One Arena";"Capitals"
7;2018020050;"2018-10-11";"Penguins";"Golden Knights";4;2;"PPG Paints Arena";"Penguins"
8;2018020045;"2018-10-11";"Bruins";"Oilers";4;1;"TD Garden";"Bruins"
9;2018020003;"2018-10-04";"Canucks";"Flames";5;2;"Rogers Arena";"Canucks"
10;2018020046;"2018-10-11";"Sabres";"Avalanche";1;6;"KeyBank Center";"Avalanche"
11;2018020003;"2018-10-04";"Canucks";"Flames";5;2;"Rogers Arena";"Canucks"
12;2018020047;"2018-10-11";"Panthers";"Blue Jackets";4;5;"BB&T Center";"Blue Jackets"
13;2018020004;"2018-10-04";"Sharks";"Ducks";2;5;"SAP Center at San Jose";"Ducks"
14;2018020048;"2018-10-11";"Devils";"Capitals";6;0;"Prudential Center";"Devils"
15;2018020004;"2018-10-04";"Sharks";"Ducks";2;5;"SAP Center at San Jose";"Ducks"
16;2018020005;"2018-10-04";"Sabres";"Bruins";0;4;"KeyBank Center";"Bruins"
17;2018020049;"2018-10-11";"Rangers";"Sharks";3;2;"Madison Square Garden";"Rangers"
18;2018020007;"2018-10-04";"Penguins";"Capitals";7;6;"PPG Paints Arena";"Penguins"
19;2018020050;"2018-10-11";"Penguins";"Golden Knights";4;2;"PPG Paints Arena";"Penguins"
20;2018020051;"2018-10-11";"Canadiens";"Kings";0;3;"Centre Bell";"Kings"
21;2018020008;"2018-10-04";"Hurricanes";"Islanders";1;2;"PNC Arena";"Islanders"
22;2018020005;"2018-10-04";"Sabres";"Bruins";0;4;"KeyBank Center";"Bruins"
23;2018020052;"2018-10-11";"Red Wings";"Maple Leafs";3;5;"Little Caesars Arena";"Maple Leafs"
24;2018020053;"2018-10-11";"Lightning";"Canucks";1;4;"Amalie Arena";"Canucks"
25;2018020007;"2018-10-04";"Penguins";"Capitals";7;6;"PPG Paints Arena";"Penguins"
26;2018020051;"2018-10-11";"Canadiens";"Kings";0;3;"Centre Bell";"Kings"
27;2018020008;"2018-10-04";"Hurricanes";"Islanders";1;2;"PNC Arena";"Islanders"
28;2018020052;"2018-10-11";"Red Wings";"Maple Leafs";3;5;"Little Caesars Arena";"Maple Leafs"
29;2018020006;"2018-10-04";"Rangers";"Predators";2;3;"Madison Square Garden";"Predators"
30;2018020009;"2018-10-04";"Senators";"Blackhawks";3;4;"Canadian Tire Centre";"Blackhawks"
31;2018020053;"2018-10-11";"Lightning";"Canucks";1;4;"Amalie Arena";"Canucks"
32;2018020010;"2018-10-04";"Red Wings";"Blue Jackets";2;3;"Little Caesars Arena";"Blue Jackets"
33;2018020054;"2018-10-12";"Blues";"Flames";5;3;"Enterprise Center";"Blues"
34;2018020006;"2018-10-04";"Rangers";"Predators";2;3;"Madison Square Garden";"Predators"
35;2018020055;"2018-10-12";"Predators";"Jets";3;0;"Bridgestone Arena";"Predators"
