game_id,match,time,timestamp,odds_1,odds_x,odds_2,url
7994755,Toronto Maple Leafs -  Montreal Canadiens,04:30,1538607600,1.66,4.75,4.60,https://checkbestodds.com/hockey-odds/nhl/toronto-maple-leafs-montreal-canadiens-2018-10-04/7994755
7994756,Washington Capitals -  Boston Bruins,05:00,1538609400,2.43,4.20,2.65,https://checkbestodds.com/hockey-odds/nhl/washington-capitals-boston-bruins-2018-10-04/7994756
7994757,Vancouver Canucks -  Calgary Flames,07:30,1538618400,2.90,4.20,2.20,https://checkbestodds.com/hockey-odds/nhl/vancouver-canucks-calgary-flames-2018-10-04/7994757
7994758,San Jose Sharks -  Anaheim Ducks,08:00,1538620200,1.90,4.35,3.60,https://checkbestodds.com/hockey-odds/nhl/san-jose-sharks-anaheim-ducks-2018-10-04/7994758
7994759,Buffalo Sabres -  Boston Bruins,04:30,1538694000,2.90,4.20,2.29,https://checkbestodds.com/hockey-odds/nhl/buffalo-sabres-boston-bruins-2018-10-05/7994759
7994761,Pittsburgh Penguins -  Washington Capitals,04:30,1538694000,2.05,4.40,3.24,https://checkbestodds.com/hockey-odds/nhl/pittsburgh-penguins-washington-capitals-2018-10-05/7994761
7994762,Carolina Hurricanes -  NY Islanders,04:30,1538694000,2.00,4.40,3.24,https://checkbestodds.com/hockey-odds/nhl/carolina-hurricanes-ny-islanders-2018-10-05/7994762
7994760,NY Rangers -  Nashville Predators,05:00,1538695800,3.25,4.33,2.03,https://checkbestodds.com/hockey-odds/nhl/ny-rangers-nashville-predators-2018-10-05/7994760
7994763,Detroit Red Wings -  Columbus Blue Jackets,05:00,1538695800,2.92,4.25,2.17,https://checkbestodds.com/hockey-odds/nhl/detroit-red-wings-columbus-blue-jackets-2018-10-05/7994763
7994764,Ottawa Senators -  Chicago Blackhawks,05:00,1538695800,2.65,4.20,2.41,https://checkbestodds.com/hockey-odds/nhl/ottawa-senators-chicago-blackhawks-2018-10-05/7994764
7994765,St. Louis Blues -  Winnipeg Jets,05:30,1538697600,2.55,4.20,2.52,https://checkbestodds.com/hockey-odds/nhl/st-louis-blues-winnipeg-jets-2018-10-05/7994765
7994766,Dallas Stars -  Arizona Coyotes,06:00,1538699400,1.93,4.35,3.70,https://checkbestodds.com/hockey-odds/nhl/dallas-stars-arizona-coyotes-2018-10-05/7994766
7994767,Colorado Avalanche -  Minnesota Wild,06:30,1538701200,2.51,4.20,2.55,https://checkbestodds.com/hockey-odds/nhl/colorado-avalanche-minnesota-wild-2018-10-05/7994767
7994768,Vegas Golden Knights -  Philadelphia Flyers,07:30,1538704800,1.96,4.40,3.40,https://checkbestodds.com/hockey-odds/nhl/vegas-golden-knights-philadelphia-flyers-2018-10-05/7994768
7994769,Columbus Blue Jackets -  Carolina Hurricanes,04:30,1538780400,2.09,4.20,3.25,https://checkbestodds.com/hockey-odds/nhl/columbus-blue-jackets-carolina-hurricanes-2018-10-06/7994769
7994770,Los Angeles Kings -  San Jose Sharks,08:00,1538793000,2.69,4.10,2.38,https://checkbestodds.com/hockey-odds/nhl/los-angeles-kings-san-jose-sharks-2018-10-06/7994770
7994771,New Jersey Devils -  Edmonton Oilers,22:30,1538845200,2.67,4.20,2.39,https://checkbestodds.com/hockey-odds/nhl/new-jersey-devils-edmonton-oilers-2018-10-06/7994771
7994772,Pittsburgh Penguins -  Montreal Canadiens,04:30,1538866800,1.69,4.75,4.35,https://checkbestodds.com/hockey-odds/nhl/pittsburgh-penguins-montreal-canadiens-2018-10-07/7994772
7994773,NY Islanders -  Nashville Predators,04:30,1538866800,3.14,4.33,2.06,https://checkbestodds.com/hockey-odds/nhl/ny-islanders-nashville-predators-2018-10-07/7994773
7994774,Toronto Maple Leafs -  Ottawa Senators,04:30,1538866800,1.55,5.00,5.20,https://checkbestodds.com/hockey-odds/nhl/toronto-maple-leafs-ottawa-senators-2018-10-07/7994774
7994775,Tampa Bay Lightning -  Florida Panthers,04:30,1538866800,1.91,5.05,3.50,https://checkbestodds.com/hockey-odds/nhl/tampa-bay-lightning-florida-panthers-2018-10-07/7994775
7994776,Buffalo Sabres -  NY Rangers,04:30,1538866800,2.26,4.45,2.77,https://checkbestodds.com/hockey-odds/nhl/buffalo-sabres-ny-rangers-2018-10-07/7994776
7994777,Dallas Stars -  Winnipeg Jets,04:30,1538866800,2.55,4.20,2.42,https://checkbestodds.com/hockey-odds/nhl/dallas-stars-winnipeg-jets-2018-10-07/7994777
7994778,St. Louis Blues -  Chicago Blackhawks,05:30,1538870400,1.94,4.55,3.50,https://checkbestodds.com/hockey-odds/nhl/st-louis-blues-chicago-blackhawks-2018-10-07/7994778
7994779,Minnesota Wild -  Vegas Golden Knights,05:30,1538870400,2.38,4.55,2.66,https://checkbestodds.com/hockey-odds/nhl/minnesota-wild-vegas-golden-knights-2018-10-07/7994779
7994780,Arizona Coyotes -  Anaheim Ducks,06:30,1538874000,2.72,4.05,2.38,https://checkbestodds.com/hockey-odds/nhl/arizona-coyotes-anaheim-ducks-2018-10-07/7994780
7994781,Colorado Avalanche -  Philadelphia Flyers,06:30,1538874000,2.49,4.20,2.55,https://checkbestodds.com/hockey-odds/nhl/colorado-avalanche-philadelphia-flyers-2018-10-07/7994781
7994782,Calgary Flames -  Vancouver Canucks,07:30,1538877600,1.83,4.50,3.80,https://checkbestodds.com/hockey-odds/nhl/calgary-flames-vancouver-canucks-2018-10-07/7994782
7994783,Carolina Hurricanes -  NY Rangers,02:30,1538946000,1.80,4.65,4.15,https://checkbestodds.com/hockey-odds/nhl/carolina-hurricanes-ny-rangers-2018-10-07/7994783
7994784,Chicago Blackhawks -  Toronto Maple Leafs,04:30,1538953200,2.93,4.33,2.15,https://checkbestodds.com/hockey-odds/nhl/chicago-blackhawks-toronto-maple-leafs-2018-10-08/7994784
7994785,Los Angeles Kings -  Detroit Red Wings,08:00,1538965800,1.83,4.33,3.88,https://checkbestodds.com/hockey-odds/nhl/los-angeles-kings-detroit-red-wings-2018-10-08/7994785
7994786,Boston Bruins -  Ottawa Senators,22:30,1539018000,1.63,4.80,4.85,https://checkbestodds.com/hockey-odds/nhl/boston-bruins-ottawa-senators-2018-10-08/7994786
7994787,NY Islanders -  San Jose Sharks,22:30,1539018000,3.25,4.33,2.01,https://checkbestodds.com/hockey-odds/nhl/ny-islanders-san-jose-sharks-2018-10-08/7994787
